Folder,FileName,Manufacturer,DocType,Model / Coverage,SourceURL,Legal Status
Carrier,48-50K-01APD_Product-Data.pdf,Carrier,Product Data,48/50K packaged unit,https://www.shareddocs.com/hvac/docs/1005/Public/0E/48-50K-01APD.pdf,Freely published OEM (ShareDocs Public)
Carrier,48-50PGPM_Single-Package-Rooftop-Service.pdf,Carrier,Install/Service,48/50PG (3-14 ton) & 48/50PM (16-28 ton),https://www.shareddocs.com/hvac/docs/1009/Public/0C/48-50PGPM-03T.pdf,Freely published OEM (ShareDocs Public)
Carrier,48-50A-19PD_WeatherMaker-Product-Data.pdf,Carrier,Product Data,WeatherMaker 48/50A,https://www.shareddocs.com/hvac/docs/1005/Public/09/48_50A-19PD.pdf,Freely published OEM (ShareDocs Public)
Carrier,48HJ-32SI_Install-Startup-Service.pdf,Carrier,Install/Startup/Service,48HJ packaged rooftop,https://www.shareddocs.com/hvac/docs/1005/Public/0B/48HJ-32SI.pdf,Freely published OEM (ShareDocs Public)
Carrier,50HC-07-12_Install-Instructions.pdf,Carrier,Install,50HC rooftop 7-12 ton,https://www.shareddocs.com/hvac/docs/1005/Public/03/50HC-7-12-07SI.pdf,Freely published OEM (ShareDocs Public)
Carrier,50E-C2SI_Install-Startup-Service.pdf,Carrier,Install/Startup/Service,50E series,https://www.shareddocs.com/hvac/docs/1005/Public/05/50E-C2SI.pdf,Freely published OEM (ShareDocs Public)
Carrier,48-50FE-20-30-01PD_Product-Data.pdf,Carrier,Product Data,48/50FE 20-30 ton,https://www.shareddocs.com/hvac/docs/1005/Public/0A/48-50FE-20-30-01PD.pdf,Freely published OEM (ShareDocs Public)
Carrier,48-50FC-20-30-01PD_Product-Data.pdf,Carrier,Product Data,48/50FC 20-30 ton,https://www.shareddocs.com/hvac/docs/1005/Public/0A/48-50FC-20-30-01PD.pdf,Freely published OEM (ShareDocs Public)
Daikin-Applied,OM1164-4_Rebel-QuickStart-Operations.pdf,Daikin Applied,Operations,Rebel applied rooftop (MicroTech),https://tahoeweb.daikinapplied.com/api/general/DownloadDocumentByName/media/OM1164-4.pdf/,Freely published OEM (Daikin Applied)
Daikin-Applied,OM1355_Applied-AirHandling-Operations.pdf,Daikin Applied,Operations,Applied air handling,https://tahoeweb.daikinapplied.com/api/general/DownloadDocumentByName/media/OM1355.pdf/,Freely published OEM (Daikin Applied)
Refrigerant-PT,Honeywell-Solstice-R454B-PT-Chart.pdf,Honeywell,PT Chart,R-454B,https://prod-edam.honeywell.com/content/dam/honeywell-edam/pmt/oneam/en-us/refrigerants/documents/hon-ess-am-3161690-adm-tds-pt-chart-solstice-454b-ltr-en.pdf,Freely published producer (factual data)
Refrigerant-PT,Hudson-R454B-PT-Chart.pdf,Hudson Technologies,PT Chart,R-454B,https://www.hudsontech.com/pdfs/pt-charts/R-454B-Pressure-Temperature-Chart.pdf,Freely published (factual data)
Refrigerant-PT,Goodman-Daikin-A2L-PT-Chart_R22-410A-32-454B.pdf,Goodman / Daikin,PT Chart,R-22 / R-410A / R-32 / R-454B,https://apps.goodmanmfg.com/brochures/files/666324eb72fb9PM-A2LPTC-USA_04-24.pdf,Freely published OEM (factual data)
Codes-EPA608,EPA-Section608-Rule-FR-2004-03-12.pdf,US EPA,Regulation,Section 608 refrigerant recycling rule,https://www.govinfo.gov/content/pkg/FR-2004-03-12/pdf/04-3817.pdf,Public domain (US federal)
Codes-EPA608,EPA-Refrigerant-Mgmt-Update-2015.pdf,US EPA,Regulation,Refrigerant management program update,https://public-inspection.federalregister.gov/2015-26946.pdf,Public domain (US federal)
Public,dmHVAC.pdf,US Dept of Veterans Affairs,Design Manual,HVAC design — federal facilities (general reference),https://www.cfm.va.gov/til/dManual/dmHVAC.pdf,US public domain (federal work)
Daikin,lit 12012194 - service manual p series_30k-36k_ 220v.pdf,Daikin,Service Manual,P-series inverter mini-split 30-36K 220V (DHP30NWB21S…),local:///lit%2012012194%20-%20service%20manual%20p%20series_30k-36k_%20220v.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Reference,03_Methodology_Guidebook_HVAC_Basics.pdf,Unknown,Training Guide,Generic HVAC basics,local:///03_Methodology_Guidebook_HVAC_Basics.pdf,"EXCLUDED — provenance unknown, owner decision 9 Aug 2026"
Reference,The-Basics-of-HVAC-HVAC-Notes-for-Beginners.pdf,Abdul Mujeeb Khan,Training Guide,HVAC basics for beginners,local:///The-Basics-of-HVAC-HVAC-Notes-for-Beginners.pdf,"EXCLUDED — likely copyrighted, owner decision 9 Aug 2026"
Reference,HVAC Procedures and Forms Manual.pdf,Herbert Wendes / Fairmont Press,Book,HVAC procedures and forms,local:///HVAC%20Procedures%20and%20Forms%20Manual.pdf,"EXCLUDED — commercial copyrighted book, owner decision 9 Aug 2026"
Carrier,Carrier_48TC-Packaged-Rooftop-Service-Maintenance.pdf,Carrier,Service/Maintenance,48TC packaged rooftop 3-15 ton,local:///15_Carrier_Carrier-48TC-3-15-Ton-Packaged-Rooftop-Service-Maintenance-Instructions.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Trane,Trane_Precedent-Rooftop-IOM-RT-SVX075A-EN.pdf,Trane,IOM + diagnostics,Precedent packaged rooftop 3-25 ton (YHJ),local:///16_Trane_Trane-Precedent-3-25-Ton-Rooftop-Installation-Operation-Maintenance-RT-SVX075A-EN.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Carrier,Carrier_50V-Packaged-Unit-Install-Startup.pdf,Carrier,Install/Startup,50V single packaged unit,local:///18_Carrier_Carrier-50V-Packaged-Unit-Installation-Start-Up-Instructions.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Trane,Trane_Packaged-Rooftop-Application-Guide-APP-PRC005H-EN.pdf,Trane,Application Guide,packaged rooftop application guide,local:///30_Trane_Trane-Packaged-Rooftop-Application-Guide-APP-PRC005H-EN.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Carrier,Carrier_59MN7B-Condensing-Gas-Furnace-Install-Service.pdf,Carrier,Install/Startup/Service,59MN7B multipoise condensing gas furnace (residential),local:///01_Carrier_Carrier-59MN7B-Multipoise-Condensing-Gas-Furnace-Installation-Start-Up-Operating-Service-Mainte.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Goodman,Goodman-Amana_ACEC-ACVC-Gas-Furnace-Service-RS6621005.pdf,Goodman / Amana,Service Instructions,ACEC / ACVC / AMEC / GMEC / GCEC gas furnace (residential),local:///02_Goodman-Amana_Goodman-Amana-ACEC-ACVC-Gas-Furnace-Service-Instructions-RS6621005.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Goodman,Goodman-Amana_Gas-Furnace-Homeowner-Guide.pdf,Goodman / Amana,Homeowner Guide,"gas furnace homeowner guide, 2005-205 models (residential)",local:///03_Goodman-Amana_Goodman-Amana-Gas-Furnace-Homeowner-s-Information-Guide-HIG-2005-205-models.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Trane,Trane_Gas-Furnace-Install-18-CE19D1-1B-EN.pdf,Trane,Install,gas furnace (residential),local:///04_Trane_Trane-Gas-Furnace-Installation-Manual-18-CE19D1-1B-EN.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Payne,Payne_PG96VTAB-Gas-Furnace-Install-Service.pdf,Payne,Install/Service,PG96VTAB 96% variable-speed gas furnace (residential),local:///05_Payne_Payne-PG96VTAB-96-Variable-Speed-Gas-Furnace-Installation-Service.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Carrier,Carrier_25VNA8-24VNA9-Infinity-Heat-Pump-Service.pdf,Carrier,Service Manual,25VNA8 / 24VNA9 Infinity variable-speed split-system heat pump (residential),local:///06_Carrier_Carrier-25VNA8-24VNA9-Infinity-Variable-Speed-Heat-Pump-Service-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_IDS-Ultra-Condensing-Unit-IOM.pdf,Bosch,IOM,IDS Ultra series ducted split condensing unit (residential),local:///07_Bosch_Bosch-IDS-Ultra-Series-Condensing-Unit-Installation-Operation-Maintenance.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Goodman,Goodman-Amana_Split-System-AC-Heat-Pump-Service-RS6200006.pdf,Goodman / Amana,Service Instructions,split-system air conditioner and heat pump (residential),local:///08_Goodman-Amana_Goodman-Amana-Split-System-AC-Heat-Pump-Service-Instructions-RS6200006.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_RF-Series-Water-Source-Heat-Pump-IOM.pdf,Bosch,IOM,"RF series water-source heat pump, water-to-air",local:///09_Bosch_Bosch-Water-to-Air-Water-Source-Heat-Pump-RF-Series-IOM.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Lennox,Lennox_CBX27UHE-Air-Handler-Install.pdf,Lennox,Install,CBX27UHE variable-speed air handler (residential),local:///10_Lennox_Lennox-CBX27UHE-Variable-Speed-Air-Handler-Installation-Instructions.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Trane,Trane_Air-Handler-IOM-AHR-SVX001C-EN.pdf,Trane,IOM,"air handler, applied",local:///11_Trane_Trane-Air-Handler-Installation-Operation-Maintenance-AHR-SVX001C-EN.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Rheem,Rheem_RH2VY-Air-Handler-Install.pdf,Rheem,Install,RH2VY variable-speed air handler (residential),local:///12_Rheem_Rheem-RH2VY-Variable-Speed-Air-Handler-Installation-Instructions.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Carrier,Carrier_CNPV-CNRV-Cased-N-Evaporator-Coils-Product-Data.pdf,Carrier,Product Data,CNPV / CNRV cased N evaporator coil (residential),local:///13_Carrier_Carrier-CNPV-CNRV-Cased-N-Evaporator-Coils-Product-Data-airflow-pressure-drop.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Carrier,Carrier_CAPMP-CARMP-Multipoise-Evaporator-Coils-Install.pdf,Carrier,Install,CAPMP / CARMP multipoise evaporator coil (residential),local:///14_Carrier_Carrier-CAPMP-CARMP-Multipoise-Evaporator-Coils-Installation-Instructions.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
York,York_YPAL-70-105-Ton-Packaged-Rooftop-Technical-Guide.pdf,York,Technical Guide,YPAL 70-105 ton single packaged rooftop,local:///17_York_York-YPAL-70-105-Ton-Single-Packaged-Rooftop-Units-Technical-Guide.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Goodman,Goodman-Daikin_Light-Commercial-DDC-Controls-Technical-Guide.pdf,Goodman / Daikin,Technical Guide,light commercial DDC controls,local:///19_Goodman-Daikin_Daikin-Goodman-Light-Commercial-DDC-Controls-Technical-Guide-DK-DDC-TGD-01B.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Carrier,Carrier_38MURA-Ductless-Multi-Zone-Service.pdf,Carrier,Service Manual,38MURA ductless multi-zone outdoor unit,local:///20_Carrier_Carrier-38MURA-Ductless-Multi-Zone-Outdoor-Unit-Service-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_Climate-5000-Gen4-Wall-Mount-Split-Service.pdf,Bosch,Service Manual,Climate 5000 Gen4 wall-mount single split (ductless),local:///21_Bosch_Bosch-Climate-5000-Gen4-Wall-Mount-Single-Split-Service-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Carrier,Carrier_40VM-VRF-Indoor-Units-Install.pdf,Carrier,Install,40VM VRF indoor units,local:///22_Carrier_Carrier-40VM-VRF-Indoor-Units-Installation-Operating-Instructions.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Daikin,Daikin_Slim-Duct-DC-Ducted-Indoor-Units-Service-SiUS121632EB.pdf,Daikin,Service Manual,"slim duct DC ducted indoor units, ductless system",local:///23_Daikin_Daikin-Slim-Duct-DC-Ducted-Indoor-Units-Service-Manual-SiUS121632EB.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Carrier,Carrier_ERV-HRV-Ventilator-User-Installer.pdf,Carrier,Install/User,"ERV / HRV ventilator, airflow balancing",local:///24_Carrier_Carrier-ERV-HRV-User-and-Installer-Manual-ventilation-airflow-balancing.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Carrier,Carrier_DEHXXCDA-Whole-House-Dehumidifier-Install.pdf,Carrier,Install,DEHXXCDA whole-house dehumidifier,local:///25_Carrier_Carrier-DEHXXCDA-Whole-House-Dehumidifier-Installation-Instructions-duct-connection.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Carrier,Carrier_HUMCRSTM-Steam-Humidifier-Install-Maintenance.pdf,Carrier,Install/Maintenance,HUMCRSTM steam humidifier,local:///26_Carrier_Carrier-HUMCRSTM-Steam-Humidifier-Installation-Maintenance-Instructions.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Carrier,Carrier_BWBC-Cast-Iron-Gas-Boiler-Install-Operating.pdf,Carrier,Install/Operating,"BWBC cast-iron gas boiler, forced hot water",local:///27_Carrier_Carrier-BWBC-Cast-Iron-Gas-Boiler-Forced-Hot-Water-Installation-Operating.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_Greenstar-Combi-100-151P-Boiler-IOM.pdf,Bosch,IOM,Greenstar Combi 100 / 151P wall-hung boiler,local:///28_Bosch_Bosch-Greenstar-Combi-100-151P-Wall-Hung-Boiler-IOM.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Carrier,Carrier_VFD-Variable-Frequency-Drive-Install-Startup-Service.pdf,Carrier,Install/Startup/Service,variable frequency drive (VFD) accessory,local:///29_Carrier_Carrier-VFD-Variable-Frequency-Drive-Installation-Start-Up-and-Service-Instructions.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_IDS-Light-Plus-Condenser-Install.pdf,Bosch,Install,IDS Light and Plus series condenser (residential),local:///B01_Bosch_IDS-Light-and-Plus-Series-Condenser-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_IDS-Premium-Connected-Condenser-Install.pdf,Bosch,Install,IDS Premium Connected series condenser (residential),local:///B02_Bosch_IDS-Premium-Connected-Series-Condenser-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_IDS-Edge-Series-Install.pdf,Bosch,Install,IDS Edge series (residential),local:///B03_Bosch_IDS-Edge-Series-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_IDS-Edge-Max-Performance-Install.pdf,Bosch,Install,IDS Edge Max Performance series (residential),local:///B04_Bosch_IDS-Edge-Max-Performance-Series-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_IDS-Edge-Quick-Start.pdf,Bosch,Quick Start,IDS Edge quick start (residential),local:///B05_Bosch_IDS-Edge-Quick-Start-Guide.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_IDS-Ultra-Condenser-Install.pdf,Bosch,Install,IDS Ultra series condenser (residential),local:///B06_Bosch_IDS-Ultra-Series-Condenser-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_IDS-Light-Air-Handler-Install.pdf,Bosch,Install,IDS Light air handler (residential),local:///B07_Bosch_IDS-Light-Air-Handler-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_IDS-Edge-Air-Handler-Install.pdf,Bosch,Install,IDS Edge air handler (residential),local:///B09_Bosch_IDS-Edge-Air-Handler-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_IDS-Edge-Four-Way-Cassette-Install.pdf,Bosch,Install,IDS Edge four-way and compact four-way cassette (residential),local:///B10_Bosch_IDS-Edge-Four-Way-and-Compact-Four-Way-Cassette-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_IDS-Edge-Slim-Ducted-Install.pdf,Bosch,Install,IDS Edge slim ducted (residential),local:///B11_Bosch_IDS-Edge-Slim-Ducted-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_IDS-Edge-Wall-Mounted-Install.pdf,Bosch,Install,IDS Edge wall-mounted (residential),local:///B12_Bosch_IDS-Edge-Wall-Mounted-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_IDS-Edge-Remote-Control-User-Guide.pdf,Bosch,User Guide,IDS Edge remote control (residential),local:///B13_Bosch_IDS-Edge-Remote-Control-User-Guide.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_BICA16-Compact-Ceiling-Air-Handler-Install.pdf,Bosch,Install,BICA16 compact ceiling air handler (residential),local:///B15_Bosch_BICA16-Compact-Ceiling-Air-Handler-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_BIWA16-Compact-Wall-Air-Handler-Install.pdf,Bosch,Install,BIWA16 compact wall air handler (residential),local:///B16_Bosch_BIWA16-Compact-Wall-Air-Handler-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_115V-Modular-Blower-Install.pdf,Bosch,Install,115V modular blower (residential),local:///B17_Bosch_115V-Modular-Blower-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_115V-Modular-Blower-Service.pdf,Bosch,Service Manual,115V modular blower (residential),local:///B18_Bosch_115V-Modular-Blower-Service-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_IDS-R-454B-Communication-Accessory-Kit-Install.pdf,Bosch,Install,IDS R-454B communication accessory kit (residential),local:///B19_Bosch_IDS-R-454B-Communication-Accessory-Kit-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_BOVB18-Install.pdf,Bosch,Install,BOVB18 outdoor unit (residential),local:///B21_Bosch_BOVB18-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_BOVB20-BOVD20-Install.pdf,Bosch,Install,BOVB20 and BOVD20 outdoor unit (residential),local:///B23_Bosch_BOVB20-and-BOVD20-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_IDS-Gateway-Troubleshooting-Guide.pdf,Bosch,Troubleshooting Guide,IDS Premium Connected / IDS Ultra gateway (residential),local:///B24_Bosch_IDS-Premium-Connected-IDS-Ultra-Gateway-Troubleshooting-Guide.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_BOVB20-Gateway-Replacement.pdf,Bosch,Service Instructions,BOVB20 gateway replacement (residential),local:///B25_Bosch_BOVB20-Gateway-Replacement-Instructions.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_BOVB20-Antenna-Install.pdf,Bosch,Install,BOVB20 antenna (residential),local:///B26_Bosch_BOVB20-Antenna-Installation.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_BVA15-Air-Handler-Install.pdf,Bosch,Install,BVA15 series air handler (residential),local:///B27_Bosch_BVA15-Series-Air-Handler-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_BWA16-Air-Handler-Install.pdf,Bosch,Install,BWA16 series air handler (residential),local:///B28_Bosch_BWA16-Series-Air-Handler-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_BCA16-Air-Handler-Install.pdf,Bosch,Install,BCA16 series air handler (residential),local:///B29_Bosch_BCA16-Series-Air-Handler-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_BMAC-Cased-Coils-Install-2017.pdf,Bosch,Install,"BMAC multi-position cased coil, 2017 (residential)",local:///B30_Bosch_BMAC-Multi-Position-Cased-Coils-Installation-Manual-2017.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_BVA20-Air-Handler-Install.pdf,Bosch,Install,BVA20 series air handler (residential),local:///B31_Bosch_BVA20-Series-Air-Handler-Installation-Manual.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_BMAC-Cased-Coils-Install-R410A.pdf,Bosch,Install,"BMAC multi-position cased coil, R-410A (residential)",local:///B33_Bosch_BMAC-Multi-Position-Cased-Coils-Installation-Manual-R-410A.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_BMAC-BTA-Cased-Coils-Install-R454B.pdf,Bosch,Install,"BMAC / BTA multi-position cased coil, R-454B (residential)",local:///B34_Bosch_BMAC-BTA-Multi-Position-Cased-Coils-Installation-Manual-R-454B.pdf,Freely published OEM (owner-supplied copy; source URL unverified)
Bosch,Bosch_BOVA15-Install-French.pdf,Bosch,Install,BOVA15 (French),local:///B35_Bosch_BOVA15-Installation-Manual-French.pdf,"EXCLUDED — non-English duplicate of an English document in the same batch, owner-supplied batch 7 Aug 2026"
Bosch,Bosch_BOVA15-Install-Spanish.pdf,Bosch,Install,BOVA15 (Spanish),local:///B36_Bosch_BOVA15-Installation-Manual-Spanish.pdf,"EXCLUDED — non-English duplicate of an English document in the same batch, owner-supplied batch 7 Aug 2026"
Bosch,Bosch_BOVB18-Install-French.pdf,Bosch,Install,BOVB18 (French),local:///B37_Bosch_BOVB18-Installation-Manual-French.pdf,"EXCLUDED — non-English duplicate of B21, owner-supplied batch 7 Aug 2026"
Bosch,Bosch_BOVB20-Install-French.pdf,Bosch,Install,BOVB20 (French),local:///B39_Bosch_BOVB20-Installation-Manual-French.pdf,"EXCLUDED — non-English duplicate of B23, owner-supplied batch 7 Aug 2026"
Bosch,Bosch_BOVB20-Install-Spanish.pdf,Bosch,Install,BOVB20 (Spanish),local:///B40_Bosch_BOVB20-Installation-Manual-Spanish.pdf,"EXCLUDED — non-English duplicate of B23, owner-supplied batch 7 Aug 2026"
Bosch,Bosch_BVA15-Air-Handler-Install-French.pdf,Bosch,Install,BVA15 series air handler (French),local:///B41_Bosch_BVA15-Series-Air-Handler-Installation-Manual-French.pdf,"EXCLUDED — non-English duplicate of B27, owner-supplied batch 7 Aug 2026"
Bosch,Bosch_BVA20-Air-Handler-Install-French.pdf,Bosch,Install,BVA20 series air handler (French),local:///B42_Bosch_BVA20-Series-Air-Handler-Installation-Manual-French.pdf,"EXCLUDED — non-English duplicate of B31, owner-supplied batch 7 Aug 2026"
